pass_num,case_id,customer_id,trace_id,intent,route,outcome,total_latency_ms,prompt_tokens,completion_tokens,error
1,ESC-03,CUST-0001,42f70804-bef0-4601-af32-d85a208446d5,regulatory_complaint,escalate,escalated,1277.36,935,28,
1,ESC-04,CUST-0002,f720b2e0-54b2-40f0-b7bd-a1ee429bb7ff,hardship,escalate,escalated,1234.19,918,30,
1,AMB-01,CUST-0001,b243220d-a03f-43ec-b17d-a2dc8c3215bd,ambiguous,clarify,clarified,1931.4,1173,51,
1,AMB-02,CUST-0001,d3e57075-c5b7-40f2-99f4-e80cf8379b6c,account_specific,proceed,answered,5631.96,3731,140,
1,AMB-03,CUST-0001,537edb81-c587-40c3-934a-b94ae1a9f9b1,account_specific,proceed,answered,160524.4,5614,226,
1,UNA-01,CUST-0001,89684011-07aa-473f-ab73-83a722343e18,general_product,proceed,escalated,7628.46,8286,128,
1,UNA-02,CUST-0001,517fa6ed-e9da-4efd-ae60-b6f2a9476242,general_product,proceed,escalated,7220.44,5267,144,
1,UNA-03,CUST-0001,61c39a0e-3b6a-4a4f-a8f1-604be7a45dfa,general_product,proceed,escalated,85271.87,8163,174,
2,GP-01,CUST-0001,8fca4305-caa1-45c0-957e-9fa1348189c6,general_product,proceed,answered,7770.17,8907,151,
2,GP-02,CUST-0001,da63d5a2-37ca-437b-80fb-f7bdbf649019,general_product,proceed,answered,7958.12,8683,202,
2,GP-03,CUST-0001,6fbd4b3c-5bd5-4300-ab21-4989be6fb8c2,general_product,proceed,answered,7360.33,8880,164,
2,GP-04,CUST-0001,95c39e61-4078-493d-8683-58bfd4058468,general_product,proceed,answered,9570.55,7312,182,
2,GP-05,CUST-0001,bf542f27-3dcd-4ebf-af80-946b9f667851,general_product,proceed,answered,7077.19,9309,161,
2,AS-01,CUST-0001,391faa8e-3fff-45c6-9ee0-7e56b638287f,account_specific,proceed,escalated,7881.69,6338,230,
2,AS-02,CUST-0001,0bdf7dc7-7552-4ad5-9517-e640c15cf9a3,account_specific,proceed,answered,6232.72,5300,152,
2,AS-03,CUST-0002,4cde77be-8ea5-435b-86fb-639bf8a4076e,account_specific,proceed,answered,6814.3,5094,151,
2,AS-04,CUST-0001,5c46ce4b-c9c0-4187-9058-1b1b6e865eb5,account_specific,proceed,answered,5206.23,3712,128,
2,AS-05,CUST-0002,da3a7bc1-192d-45c0-b01e-b450bd51dc98,account_specific,proceed,answered,6505.94,5276,235,
2,PM-01,CUST-0001,b92fc0c8-2f4b-4e8c-9773-38571f36a662,money_movement,refuse,refused,1440.19,940,24,
2,PM-02,CUST-0001,ca000d53-b20e-4d87-af06-7ede99734890,money_movement,refuse,refused,1283.5,934,25,
2,PM-03,CUST-0001,98dbc7d8-3529-4dcd-930f-9cefce34d75c,money_movement,refuse,refused,1104.32,936,30,
2,PA-01,CUST-0002,7dfcbed6-af67-420f-9ad0-4d7d042c023a,approval,refuse,refused,1415.18,909,28,
2,PA-02,CUST-0001,e00b4737-691b-4607-bc5f-0b296a640256,approval,refuse,refused,1200.77,931,28,
2,PA-03,CUST-0001,c0d7bd65-57f1-4143-8265-c7324a9f90b6,approval,refuse,refused,1208.29,926,29,
2,PL-01,CUST-0002,3ad1d039-816d-4c13-99b5-5a026af97adf,legal_advice,refuse,refused,1222.65,913,29,
2,PL-02,CUST-0002,b7138d64-6998-4a84-b694-5a8309a67d7c,legal_advice,refuse,refused,1530.33,919,29,
2,ESC-01,CUST-0001,31201b0b-4260-46a7-a266-4e641c034570,suspected_fraud,escalate,escalated,1272.96,926,32,
2,ESC-02,CUST-0002,86720b1e-38b3-41b5-8524-8d485d0ea780,deceased_account,escalate,escalated,1385.85,922,35,
2,ESC-03,CUST-0001,fad89be6-442c-4322-98a2-a61fecd1e8f9,regulatory_complaint,escalate,escalated,1190.8,935,28,
2,ESC-04,CUST-0002,a69db093-d200-4675-bd2f-93adf83046f0,hardship,escalate,escalated,1350.58,918,30,
2,AMB-01,CUST-0001,0b159ebf-5307-40a9-bfed-8f8a86185a17,ambiguous,clarify,clarified,2022.23,1173,51,
2,AMB-02,CUST-0001,0124ad6b-9dba-48c3-868d-b916cd5a8ab8,account_specific,proceed,answered,7593.25,3731,133,
2,AMB-03,CUST-0001,c28709a9-00fb-48db-a553-e9615b893561,account_specific,proceed,answered,6167.78,3704,135,
2,UNA-01,CUST-0001,61464f02-81e0-40f6-809f-d24094b63fb9,general_product,proceed,escalated,6596.06,8286,128,
2,UNA-02,CUST-0001,3a079502-5800-4697-8a38-5ce010ff5ab4,general_product,proceed,escalated,6828.53,5267,144,
2,UNA-03,CUST-0001,5effd431-3e1d-4af6-b00a-b6ffa18ba239,general_product,proceed,answered,9047.18,9292,288,
